# RA DEC XI ETA F475W F814W V VERR
10.965 41.132 0.211 -0.137 23.552 20.866 -291.566 1.773 
11.072 41.133 0.292 -0.136 24.379 21.023 -315.991 1.377 
10.958 41.134 0.206 -0.135 24.736 22.275 -296.25 6.581 
11.083 41.137 0.3 -0.131 23.627 20.954 -298.188 1.609 
11.066 41.137 0.287 -0.131 24.405 21.422 -431.536 2.159 
11.059 41.138 0.281 -0.131 23.8 21.101 -440.831 1.821 
11.039 41.139 0.266 -0.13 24.239 21.671 -267.468 2.869 
11.018 41.139 0.251 -0.13 24.241 20.876 -274.195 1.198 
11.045 41.139 0.271 -0.129 23.548 20.842 -338.443 1.479 
11.071 41.14 0.291 -0.128 24.327 20.945 -374.334 1.313 
11.073 41.14 0.292 -0.128 24.238 21.057 -306.447 1.311 
11.058 41.144 0.281 -0.124 23.653 21.19 -520.171 2.542 
11.037 41.145 0.265 -0.123 24.026 21.094 -288.947 1.895 
10.957 41.15 0.205 -0.119 24.466 21.516 -180.955 2.036 
11.021 41.152 0.253 -0.117 23.863 21.041 -314.416 2.946 
11.036 41.152 0.265 -0.117 23.867 21.383 -297.238 2.889 
11.049 41.152 0.274 -0.117 23.174 20.578 -269.571 1.922 
10.97 41.154 0.215 -0.115 23.611 21.286 -325.567 2.5 
10.928 41.155 0.183 -0.114 23.35 20.775 -188.827 2.025 
11.075 41.158 0.294 -0.111 23.472 21.018 -136.576 2.133 
11.039 41.159 0.267 -0.11 24.289 21.547 45.608 2.65 
11.012 41.16 0.247 -0.109 24.281 21.144 -530.639 2.258 
11.079 41.16 0.297 -0.108 23.929 21.185 -406.171 1.591 
10.968 41.161 0.213 -0.108 24.726 21.773 -391.666 4.929 
10.979 41.163 0.221 -0.106 24.06 20.746 -280.781 1.36 
11.07 41.164 0.29 -0.104 23.423 20.859 -349.564 1.61 
11.014 41.174 0.248 -0.095 23.728 20.764 -422.097 1.49 
11.05 41.176 0.274 -0.093 23.553 21.015 79.673 1.781 
11.083 41.18 0.299 -0.089 24.239 21.583 -321.698 2.529 
11.079 41.18 0.296 -0.089 24.39 21.124 -421.697 1.414 
11.074 41.186 0.293 -0.083 24.433 21.156 -288.731 1.42 
11.076 41.188 0.294 -0.081 22.685 20.04 -9.198 1.374 
11.063 41.192 0.285 -0.076 24.158 21.145 -364.34 2.096 
11.058 41.193 0.28 -0.076 24.449 21.436 -235.7 2.466 
11.063 41.104 0.285 -0.165 24.346 21.206 -291.662 1.389 
11.05 41.105 0.275 -0.163 24.031 20.775 -323.01 0.791 
11.064 41.11 0.285 -0.159 24.147 20.843 -299.613 1.006 
11.08 41.124 0.297 -0.144 24.238 21.687 -346.584 2.397 
11.056 41.125 0.279 -0.144 23.257 20.768 -161.0 1.458 
11.06 41.125 0.282 -0.143 24.224 21.067 68.964 1.275 
11.063 41.126 0.285 -0.143 24.432 21.237 -218.537 1.308 
11.062 41.127 0.284 -0.142 23.818 21.349 -384.08 2.047 
11.059 41.127 0.282 -0.141 23.834 21.38 78.47 2.502 
11.082 41.131 0.299 -0.138 23.493 20.677 -3.399 1.283 
11.083 41.137 0.3 -0.131 23.627 20.954 -297.511 1.346 
11.176 41.614 0.369 0.346 23.492 21.337 -129.392 2.535 
11.141 41.64 0.342 0.372 23.168 20.836 -14.356 2.423 
11.097 41.626 0.309 0.357 23.322 21.307 -49.596 1.887 
11.097 41.626 0.31 0.357 24.885 21.979 -430.376 5.505 
11.11 41.633 0.319 0.364 23.662 21.577 -75.768 2.231 
11.111 41.633 0.319 0.364 25.026 22.549 -66.78 3.735 
11.096 41.636 0.308 0.368 23.685 21.762 -69.858 1.385 
11.165 41.613 0.36 0.345 22.981 20.588 13.149 2.879 
11.227 41.62 0.407 0.352 22.926 20.932 -222.186 3.09 
11.238 41.621 0.415 0.353 23.087 21.028 -128.063 1.752 
11.214 41.604 0.397 0.336 23.115 20.986 -101.629 4.744 
11.218 41.61 0.4 0.342 23.863 22.015 -168.404 4.886 
11.1 41.664 0.311 0.396 23.053 20.938 -55.771 0.901 
11.099 41.664 0.311 0.396 26.164 23.696 -82.414 10.413 
11.102 41.642 0.313 0.374 22.905 21.115 -61.76 1.352 
11.159 41.622 0.356 0.354 25.093 22.773 -118.675 4.722 
11.138 41.614 0.34 0.345 24.669 21.295 -307.421 2.152 
11.146 41.612 0.346 0.344 24.678 21.571 -180.295 1.6 
11.127 41.654 0.332 0.386 24.997 21.567 -66.466 1.809 
11.132 41.652 0.335 0.383 25.398 22.004 -194.786 2.679 
11.123 41.643 0.329 0.375 24.362 21.44 -286.05 3.446 
11.107 41.644 0.317 0.376 24.505 21.483 -203.463 2.931 
11.106 41.63 0.316 0.361 24.687 21.551 -108.686 2.818 
11.112 41.641 0.32 0.372 24.873 21.563 -45.942 2.927 
11.101 41.622 0.312 0.353 24.773 21.451 -204.827 2.286 
11.084 41.641 0.299 0.372 24.786 21.402 -77.045 1.873 
11.084 41.641 0.299 0.372 25.141 22.276 -44.862 4.243 
11.069 41.624 0.288 0.355 25.197 21.892 -127.41 12.732 
11.08 41.634 0.297 0.365 24.645 21.496 -20.062 2.451 
11.223 41.612 0.404 0.344 24.823 21.538 -134.111 2.789 
11.197 41.622 0.384 0.354 24.653 21.505 -100.631 6.618 
11.198 41.622 0.385 0.354 25.123 22.101 -301.002 3.14 
11.129 41.676 0.333 0.408 24.815 21.487 -103.416 2.127 
11.139 41.676 0.341 0.407 25.078 22.3 27.893 5.637 
